location,population,percent_single_dose,percent_fully_vaccinated
Armenia,2790974,40.475798054729282,35.321253440555161
Ukraine,43531422,36.236583312164719,34.810663892394786
Moldova,3061506,35.3840887458656,34.735355736686451
Palestine,5133392,39.163831634131974,34.563851737798323
Georgia,3757980,43.639668119574878,33.889908940441408
South Africa,59392255,37.419892543228066,32.467605414207625
Grenada,124610,35.261214990771208,31.084182649867586
Mauritania,4614974,43.17070908741848,30.556943549411113
Ethiopia,120283026,35.841501027751,30.517487147355272
Saint Lucia,179652,33.345022599247429,30.469463184378686
Cote d'Ivoire,27478249,38.100939401196925,30.45875303044237
Bulgaria,6885868,30.464249387295833,30.029663653151644
Saint Vincent and the Grenadines,104332,35.513552888854811,29.873864202737415
Zimbabwe,15993524,39.866867364565806,29.339625213305087
Zambia,19473125,38.723502262733895,28.7914548897519
Eswatini,1192271,34.430595057667254,28.692134590206418
Solomon Islands,707851,41.6776977075684,27.130427166169152
Uganda,45853778,39.698779018819344,27.1183456246506
Bosnia and Herzegovina,3270943,28.841652086263807,25.866546742025161
Sierra Leone,8420641,34.235065952817607,25.773916736267466
Jamaica,2827694,29.188801900064149,25.595096216210102
Ghana,32833031,33.969181827897643,24.398575934095149
Afghanistan,40099462,26.071915877574618,23.975324157715633
Tanzania,63588334,25.657324187798348,23.23568187837725
Central African Republic,5457154,23.86921827751242,22.836005727527571
Angola,34503774,40.684778424528282,22.355682019016239
Chad,17179740,21.748751727325327,21.006802198403467
Benin,12996895,24.629459574767665,20.656795334577989
Kyrgyzstan,6527743,24.200309356541762,20.329752565320049
Namibia,2530151,22.296613917509273,19.353548464103525
Guinea,13531906,33.728441507057468,18.978176466788934
Libya,6735277,34.154111256300226,18.16908198430443
Togo,8644829,24.903280330935406,18.016990272450734
Djibouti,1105557,19.782064606347753,17.938921285831487
Iraq,43533592,25.322486598395095,17.799199753606366
Kenya,53005614,23.849698260263526,17.595898426910026
Guinea-Bissau,2060721,26.377563969115663,17.530805965484898
Algeria,44177969,18.585293045046956,15.509223613244874
South Sudan,10748272,14.636827203479777,14.24689475666414
Gambia,2639916,17.141227220866117,13.53793075234212
Nigeria,213401323,18.754077265022392,13.197420992558701
Equatorial Guinea,1634466,16.52582556015237,13.094919074486713
Somalia,17065581,17.697715653513349,12.408865540528623
Niger,25252722,14.851943485537916,11.825453905523531
Congo,5835806,11.922260609759817,11.208717356265783
Gabon,2341179,13.248453023028143,10.982586124341625
Sudan,45657202,14.567839702485491,9.9370171654408441
Malawi,19889742,12.417516526860933,9.7161843527180984
Syria,21324367,13.564369812243429,9.26202873923526
Burkina Faso,22100683,11.545326449865826,7.4221642833391162
Mali,21904983,9.40807395285356,6.8398135711860624
Senegal,16876720,8.6555503676069758,6.3949333756796349
Madagascar,28915653,4.9845632052646369,4.7973670177879093
Cameroon,27198628,5.7718720223681874,4.509999548506638
Papua New Guinea,9949437,3.4398328267217533,2.8424723931615428
Democratic Republic of Congo,95894118,4.0314214058468112,2.6353628905581048
Haiti,11447569,2.2150816474659378,1.4501768890844859
Yemen,32981641,2.1611447411000562,1.3730153693686737
Burundi,12551213,0.14134092059468675,0.13667204914775966
Eritrea,3620312,,
Guam,170534,,
Marshall Islands,42050,,
Micronesia (country),113131,,
North Korea,25971909,,
Northern Cyprus,,,
Northern Mariana Islands,49481,,
Palau,18024,,
Puerto Rico,3256028,,
Saint Pierre and Miquelon,5883,,
United States Virgin Islands,100091,,
Vatican,511,,
Western Sahara,565581,,
